MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
2482,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,3,,2,1,,,0,,0,,,,,2
3126,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,2,,,0,,0,,2,,,2
3127,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,1,,,0,,0,,1,2,,0
3128,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,3,,2,1,,,0,,0,,2,2,,2
3129,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,2,,2,1,,,,,0,,,,,2
3130,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,1,,2,0,,,0,,0,,2,,,
3131,Asian,Asian,Asian,Chinese,Chinese,,,2,3,2,3,,2,2,,,0,,1,,2,,,2
3132,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,2,,2,2,,,0,,0,,3,,,2
3133,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,3,,1,1,,,0,,0,,1,2,,1
3134,Asian,Asian,Asian,Chinese,Chinese,,,,2,2,2,,2,1,,,0,,0,,,,,
3135,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,3,,2,3,,,0,,0,,3,,,2
3136,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,3,,2,2,,,0,,0,,3,,,2
3137,Asian,Asian,Asian,Chinese,Chinese,,,2,3,1,1,,2,1,,,0,,0,,2,,,1
3138,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,2,,2,4,,,1,,0,,2,,,1
3139,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,1,,2,3,,,0,,0,,2,,,2
3140,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,3,,3,0,,,1,,0,,1,,,2
3141,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,2,,2,2,,,1,,0,,2,,,1
3144,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,3,,2,1,,,0,,0,,1,,,2
3145,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,2,,2,1,,,,,1,,2,,,
3146,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,2,,2,0,,,0,,0,,1,,,2
3147,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,1,,,0,,,,2,,,2
3148,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,2,,,0,,0,,3,,,2
3149,Asian,Asian,Asian,Chinese,Chinese,,,2,1,1,3,,2,1,,,1,,0,,2,,,2
3150,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,2,,,0,,0,,2,,,1
3151,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,1,,2,2,,,0,,0,,1,,,0
3152,Asian,Asian,Asian,Chinese,Chinese,,,2,3,1,3,,2,2,,,0,,0,,,,,2
3153,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,2,,,0,,,,1,,,1
3154,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,1,,2,2,,,0,,0,,3,,,2
3155,Asian,Asian,Asian,Chinese,Chinese,,,2,1,2,1,,2,0,,,0,,0,,,,,1
3156,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,2,,3,0,,,1,,0,,3,,,2
3157,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,2,,2,2,,,0,,1,,2,,,2
3158,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,2,,,0,,0,,2,,,2
3159,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,2,,2,0,,,0,,0,,2,,,2
3160,Asian,Asian,Asian,Chinese,Chinese,,,2,2,2,1,,2,,,,0,,0,,2,,,2
3161,Asian,Asian,Asian,Chinese,Chinese,,,2,2,1,2,,2,1,,,0,,0,,2,,,
